"COMIDv2_JR","LAT_DD","LON_DD","samp_year","samp_length","width","common_name","scientific_name","ind_count","STATE","SPP_CODE_new","obs_spec","slope","exp_rich","shannon","HU4_ZoneID","HUC4","HU8_ZoneID","HU12_ZoneID","StreamOrde","LENGTHKM","CLASS"
2732208,44.45867719,-91.10411438,2001,59,NA,"American brook Lamprey","Lethenteron appendix",12,"WI","AMERICAN_BROOK_LAMPREY",8,0.003,8,3.94,"HU4_55","0704","HU8_377","HU12_10308",3,1.086,"MID_stream"
2732208,44.45867719,-91.10411438,2001,59,NA,"blacknose dace","Rhinichthys atratulus",48,"WI","BLACKNOSE_DACE",8,0.003,8,3.94,"HU4_55","0704","HU8_377","HU12_10308",3,1.086,"MID_stream"
2732208,44.45867719,-91.10411438,2001,59,NA,"longnose dace","Rhinichthys cataractae",2,"WI","LONGNOSE_DACE",8,0.003,8,3.94,"HU4_55","0704","HU8_377","HU12_10308",3,1.086,"MID_stream"
2732208,44.45867719,-91.10411438,2001,59,NA,"brook trout","Salvelinus fontinalis",114,"WI","BROOK_TROUT",8,0.003,8,3.94,"HU4_55","0704","HU8_377","HU12_10308",3,1.086,"MID_stream"
2732208,44.45867719,-91.10411438,2001,59,NA,"creek chub","Semotilus atromaculatus",2,"WI","CREEK_CHUB",8,0.003,8,3.94,"HU4_55","0704","HU8_377","HU12_10308",3,1.086,"MID_stream"
2732208,44.45867719,-91.10411438,2001,59,NA,"central mudminnow","Umbra limi",6,"WI","CENTRAL_MUDMINNOW",8,0.003,8,3.94,"HU4_55","0704","HU8_377","HU12_10308",3,1.086,"MID_stream"
2732316,44.43994472,-91.18450372,2001,83,NA,"white sucker","Catostomus commersonii",6,"WI","WHITE_SUCKER",12,0.001,12,5.969,"HU4_55","0704","HU8_377","HU12_10309",3,1.789,"MID_stream"
2732316,44.43994472,-91.18450372,2001,83,NA,"fantail darter","Etheostoma flabellare",78,"WI","FANTAIL_DARTER",12,0.001,12,5.969,"HU4_55","0704","HU8_377","HU12_10309",3,1.789,"MID_stream"
2732316,44.43994472,-91.18450372,2001,83,NA,"johnny darter","Etheostoma nigrum",260,"WI","JOHNNY_DARTER",12,0.001,12,5.969,"HU4_55","0704","HU8_377","HU12_10309",3,1.789,"MID_stream"
2732316,44.43994472,-91.18450372,2001,83,NA,"American brook Lamprey","Lethenteron appendix",38,"WI","AMERICAN_BROOK_LAMPREY",12,0.001,12,5.969,"HU4_55","0704","HU8_377","HU12_10309",3,1.789,"MID_stream"
2732316,44.43994472,-91.18450372,2001,83,NA,"Allegheny pearl dace","Margariscus margarita",22,"WI","ALLEGHENY_PEARL_DACE",12,0.001,12,5.969,"HU4_55","0704","HU8_377","HU12_10309",3,1.789,"MID_stream"
2732316,44.43994472,-91.18450372,2001,83,NA,"largemouth bass","Micropterus salmoides",102,"WI","LARGEMOUTH_BASS",12,0.001,12,5.969,"HU4_55","0704","HU8_377","HU12_10309",3,1.789,"MID_stream"
