"SITE_ID","SPP_CODE","TOTAL_COUNT","OBSERVED_RICH","EXPECTED_RICH","AREA_sqkm","CONN_CLASS","STATE","TYPE"
"12120656","RAINBOW_TROUT",1,14,15.49,0.09582921,"MID_stream","MI","stream"
"12120656","YELLOW_PERCH",1,14,15.49,0.09582921,"MID_stream","MI","stream"
"12120656","LOGPERCH",11,14,15.49,0.09582921,"MID_stream","MI","stream"
"12120656","BLACKSIDE_DARTER",2,14,15.49,0.09582921,"MID_stream","MI","stream"
"12120656","TROUT-PERCH",19,14,15.49,0.09582921,"MID_stream","MI","stream"
"12120656","BROWN_TROUT",2,14,15.49,0.09582921,"MID_stream","MI","stream"
"12120656","WALLEYE",5,14,15.49,0.09582921,"MID_stream","MI","stream"
"12121180","WHITE_SUCKER",5,5,5.992,0.10204357,"MID_stream","MI","stream"
"12121180","SILVER_REDHORSE",1,5,5.992,0.10204357,"MID_stream","MI","stream"
"12121180","RAINBOW_TROUT",30,5,5.992,0.10204357,"MID_stream","MI","stream"
"12121180","LONGNOSE_DACE",1,5,5.992,0.10204357,"MID_stream","MI","stream"
"12121180","BROWN_TROUT",88,5,5.992,0.10204357,"MID_stream","MI","stream"
"12120716","ROCK_BASS",49,16,33.858,0.31393584,"MID_stream","MI","stream"
"12120716","WHITE_SUCKER",13,16,33.858,0.31393584,"MID_stream","MI","stream"
"12120716","MOTTLED_SCULPIN",1,16,33.858,0.31393584,"MID_stream","MI","stream"
"12120716","COMMON_CARP",2,16,33.858,0.31393584,"MID_stream","MI","stream"
"12120716","NORTHERN_PIKE",1,16,33.858,0.31393584,"MID_stream","MI","stream"
"12120716","JOHNNY_DARTER",1,16,33.858,0.31393584,"MID_stream","MI","stream"
"12120716","BURBOT",4,16,33.858,0.31393584,"MID_stream","MI","stream"
"12120716","SMALLMOUTH_BASS",13,16,33.858,0.31393584,"MID_stream","MI","stream"
"12120716","SILVER_REDHORSE",6,16,33.858,0.31393584,"MID_stream","MI","stream"
